Timestamp	We are trying to better understand flaky tests and we would love your input.  Filling out this short questionnaire can help us gain a much better understanding of flaky tests and the challenges they present. Your responses to this questionnaire will be used as part of a research project, as explained in the Participant Information Sheet (https://docs.google.com/document/d/1ShwU1k1v3ZK7tft2ysszmzO0Bj8yY5jcLtkAGB_-808). Unless you choose to provide your email address, no personal information will be collected and your responses will be anonymous. Where there are open-ended questions, your words may be quoted in publications and other research outputs. Your responses will be made publicly available, with the exception of your email address if you choose to provide it, as part of an aggregated data set from the responses of all participants. You are free to withdraw from this study at any time by closing this questionnaire before you submit, or if you have already submitted, by contacting us (contact details are available in the Participant Information Sheet). Please indicate that you consent to these conditions. If you do not consent, please do not proceed with the questionnaire.	A flaky test is a test case that can both pass and fail without any changes to the code under test. Do you agree with this definition?	If you answered "No, I do not agree" to the previous question, please give your own definition of a flaky test.	How often do you observe flaky tests in the projects you’re currently working on?	To what extent do you agree with the following statements: [Flaky tests reduce the reliability of testing.]	To what extent do you agree with the following statements: [Flaky tests reduce the efficiency of testing.]	To what extent do you agree with the following statements: [Flaky tests lead to a loss of productivity.]	To what extent do you agree with the following statements: [Flaky tests lead to a loss of confidence in testing.]	To what extent do you agree with the following statements: [Flaky tests hinder continuous integration.]	To what extent do you agree with the following statements: [Flaky tests make it more likely for you to ignore (potentially genuine) test failures.]	To what extent do you agree with the following statements: [It is difficult to reproduce a flaky test failure.]	To what extent do you agree with the following statements: [It is difficult to differentiate between a test failure due to a genuine bug and a test failure due to flakiness.]	In the projects you’re currently working on, how often have you encountered flaky tests caused by... [Not correctly waiting for the results of asynchronous calls to become available.]	In the projects you’re currently working on, how often have you encountered flaky tests caused by... [Synchronization issues between multiple threads interacting in an unsafe or unanticipated manner (e.g., data races, atomicity violations, deadlocks).]	In the projects you’re currently working on, how often have you encountered flaky tests caused by... [Tests not properly cleaning up after themselves or failing to set up their necessary preconditions.]	In the projects you’re currently working on, how often have you encountered flaky tests caused by... [Improper management of resources (e.g., not closing a file or not deallocating memory).]	In the projects you’re currently working on, how often have you encountered flaky tests caused by... [Dependency on a network connection.]	In the projects you’re currently working on, how often have you encountered flaky tests caused by... [Not accounting for all the possible outcomes of random data generators or code that uses them.]	In the projects you’re currently working on, how often have you encountered flaky tests caused by... [Reliance on the local system time/date.]	In the projects you’re currently working on, how often have you encountered flaky tests caused by... [Inaccuracies when performing floating point operations.]	In the projects you’re currently working on, how often have you encountered flaky tests caused by... [Assuming a particular iteration order for an unordered collection-type object (e.g., sets).]	In the projects you’re currently working on, how often have you encountered flaky tests caused by... [Reasons that cannot be precisely determined.]	Have you encountered any other causes of flaky tests that we have not described above?	After identifying a flaky test, how often do you… [Take no action.]	After identifying a flaky test, how often do you… [Re-run the build.]	After identifying a flaky test, how often do you… [Document and defer (e.g., submit an issue/bug report).]	After identifying a flaky test, how often do you… [Delete the test.]	After identifying a flaky test, how often do you… [Quarantine the test.]	After identifying a flaky test, how often do you… [Mark the test to be skipped or as an expected failure (e.g., xfail).]	After identifying a flaky test, how often do you… [Mark the test to be automatically repeated (e.g., by using the flaky plugin for pytest).]	After identifying a flaky test, how often do you… [Attempt to repair the flakiness.]	Are there any other actions that you would take that we have not listed above?	Which languages are you currently developing in?	How many years experience do you have in commercial and/or open-source software development?	Thanks for taking part, is there anything else that you would like to tell us about flaky tests?	If you would like to be notified of the results of this study, please leave us your email (optional).
6/30/2021 17:35:10	Yes, I consent.	Yes, I agree		A few times a year	Agree	Strongly agree	Strongly agree	Agree	Strongly agree	Strongly disagree	Agree	Strongly agree	Never	Never	Rarely	Never	Sometimes	Rarely	Often	Never	Sometimes	Sometimes	Parallel builds of different branches of the same project sometimes interfering with each other 	Sometimes	Often	Rarely	Never	Never	Never	Never	Sometimes		JavaScript, PHP	9 - 12		
6/30/2021 17:46:55	Yes, I consent.	Yes, I agree		Daily	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Sometimes	Sometimes	Sometimes	Sometimes		Rarely	Sometimes	Rarely	Rarely	Sometimes		Often	Often	Sometimes	Sometimes	Sometimes	Rarely	Never	Often		JavaScript, TypeScript, Go	2 - 4		
6/30/2021 17:54:54	Yes, I consent.	Yes, I agree		A few times a year	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Agree	Rarely	Sometimes	Rarely	Never	Rarely	Never	Never	Never	Never	Rarely	Relying on integrated tests where the integrated system produces different responses when called - rarely. And relying on deteriorated test data - rarely.	Never	Sometimes	Rarely	Rarely	Never	Never	Never	Often		JavaScript, Java, TypeScript, Kotlin	5 - 8	We always attempt to fix flaky tests to make them reliable, because the original intent for the test was to provide valuable clarification as to whether something was working or not. Only on rare occasions do we defer a fix due to time constraints on bug fixing, or we delete it because the flaky test provides little to no added value for the trouble it causes.  However, the biggest problematic consequence we face due to flaky tests is not Continuous Integration or mischievous builds (though they are big issues), but in Developer Confidence. If builds repeatedly fail for flaky reasons and we get used to that, then this (often combined with other factors) leads to a loss of confidence in the reliability and robustness of our tests, which unfortunately tends to lead to an increase in manual testing and other bad testing practices in an attempt to regain our confidence in the code we write, which just causes further problems and the spiral continues. And where Developer Confidence does affect productivity, it also increases workloads, causes stress & anxiety and ultimately the enjoyment of development work.  Since a sustainable, enjoyable work ethic is vital to every organisation, spending 5-10 minutes fixing a flaky test when we spot one, is worth that effort to prevent us ending up in a distressing work environment.	
6/30/2021 19:26:48	Yes, I consent.	Yes, I agree		Weekly	Agree	Agree	Agree	Disagree	Strongly agree	Agree	Agree	Disagree	Rarely	Sometimes	Often	Never	Never	Rarely	Sometimes	Never	Rarely	Never		Rarely	Often	Sometimes	Rarely	Never	Rarely	Never	Rarely		Java, Go	2 - 4		
6/30/2021 19:32:09	Yes, I consent.	Yes, I agree		A few times a year	Strongly agree	Agree	Agree	Agree	Strongly agree	Agree	Agree	Agree	Sometimes	Rarely	Sometimes	Sometimes	Never	Rarely	Never	Never	Never	Never		Never	Sometimes	Rarely	Rarely	Never	Never	Never	Sometimes		JavaScript	9 - 12		
6/30/2021 19:37:53	Yes, I consent.	Yes, I agree		A few times a year	Agree	Strongly agree	Agree	Disagree	Strongly agree	Strongly disagree	Disagree	Disagree	Never	Never	Sometimes	Rarely	Never	Never	Rarely	Never	Sometimes	Never		Never	Often	Never	Never	Rarely	Rarely	Never	Often		JavaScript, Python, Java, Go, Kotlin, bash	13 +		
6/30/2021 19:46:50	Yes, I consent.	Yes, I agree		Monthly	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Agree	Sometimes	Rarely	Sometimes	Rarely	Sometimes	Sometimes	Often	Never	Sometimes	Rarely	Changes to other services in a microservice architecture	Never	Sometimes	Never	Rarely	Rarely	Rarely	Never	Often	Split test suite up. Reorder tests to fail faster	JavaScript, Scala	5 - 8	Library support for automatically handling them in Scala is poor or not well popularised.	
6/30/2021 20:12:15	Yes, I consent.	Yes, I agree		Weekly	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Agree	Agree	Sometimes	Sometimes	Often	Rarely	Rarely	Never	Rarely	Never	Rarely	Rarely	- Third party artifacts, services, or dependencies (e.g., npm package, test harness which depends on a third party service, etc.) which you do not have full control of. - Assuming a specific initial state, where the state can be modified globally -- more concretely: implicit dependency on global state. This can be as simple as static variables, a large distributed data store, or even something like a shared ML model.	Sometimes	Often	Sometimes	Sometimes	Sometimes	Often	Never	Sometimes	When the test depends on the global state (e.g., a shared resource like a database), sometimes the flakiness is caused by incorrect initial state in that resource. And the test needs to be neither deleted/skipped, nor repaired, but rather, the state of the resource needs to be repaired. Of course, it goes without saying that the shared global state is a bad practice that sooner or later leads to flaky tests.	JavaScript, Java, TypeScript, Go	13 +		
6/30/2021 21:13:23	Yes, I consent.	Yes, I agree		Daily	Strongly agree	Strongly agree	Strongly agree	Disagree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Often	Rarely	Rarely	Sometimes	Rarely	Rarely	Never	Never	Never	Rarely		Sometimes	Often	Often	Never	Rarely	Sometimes	Sometimes	Rarely		C#	2 - 4		
6/30/2021 21:46:44	Yes, I consent.	Yes, I agree		A few times a year	Agree	Agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Agree	Sometimes	Rarely	Sometimes	Rarely	Sometimes	Never	Sometimes	Never	Sometimes	Sometimes		Never	Often	Never	Sometimes	Never	Sometimes	Never	Often		Java	13 +		
6/30/2021 21:46:46	Yes, I consent.	No, I do not agree		Never	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Sometimes	Sometimes	Rarely	Sometimes	Sometimes	Sometimes	Sometimes	Rarely	Rarely	Rarely											Java	5 - 8		
6/30/2021 22:02:58	Yes, I consent.	Yes, I agree		A few times a year	Strongly agree	Agree	Agree	Strongly disagree	Disagree	Strongly disagree	Agree	Agree	Never	Never	Sometimes	Sometimes	Never	Sometimes	Sometimes	Sometimes	Sometimes	Sometimes		Never	Often	Often	Rarely	Sometimes	Rarely	Rarely	Often		Python, Java	5 - 8		
6/30/2021 23:57:02	Yes, I consent.	Yes, I agree		Monthly	Agree	Strongly agree	Strongly agree	Agree	Strongly agree	Strongly agree	Strongly agree	Agree	Never	Rarely	Often	Never	Sometimes	Never	Sometimes	Never	Never	Never		Never	Often	Sometimes	Never	Never	Sometimes	Never	Sometimes	There is a project where previous team members removed the tests from running whatsoever when the project builds on the Jenkins server because of flaky tests 	Java	2 - 4	N/A	
7/1/2021 10:25:18	Yes, I consent.	Yes, I agree		Monthly	Agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Agree	Agree	Sometimes	Rarely	Often	Rarely	Sometimes	Rarely	Sometimes	Rarely	Rarely	Sometimes		Rarely	Often	Sometimes	Sometimes	Sometimes	Rarely	Rarely	Often		JavaScript, Python, TypeScript	13 +		
7/1/2021 10:36:36	Yes, I consent.	Yes, I agree		Weekly	Strongly agree	Strongly agree	Agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Often	Never	Sometimes	Never	Rarely	Never	Rarely	Never	Never	Never		Often	Sometimes	Never	Rarely	Sometimes	Sometimes	Sometimes	Rarely		JavaScript, Python, Java	13 +		
7/1/2021 10:42:26	Yes, I consent.	Yes, I agree		Weekly	Disagree	Agree	Agree	Disagree	Agree	Agree	Agree	Disagree	Sometimes	Rarely	Sometimes	Rarely	Rarely	Never	Rarely	Rarely	Never	Rarely		Rarely	Often	Never	Rarely	Rarely	Never	Never	Sometimes		JavaScript, Python	2 - 4		
7/1/2021 11:05:09	Yes, I consent.	Yes, I agree		A few times a year	Agree	Agree	Strongly agree	Strongly agree	Agree	Strongly agree	Agree	Agree	Often	Sometimes	Sometimes	Often	Often	Often	Sometimes	Often	Sometimes	Often		Rarely	Often	Sometimes	Sometimes	Often	Sometimes	Sometimes	Often		Python, C#, C++, C, Swift, Objective-C, Perl	2 - 4		
7/1/2021 11:21:32	Yes, I consent.	Yes, I agree		A few times a year	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Agree	Strongly agree	Agree	Sometimes	Never	Rarely	Never	Rarely	Never	Sometimes	Rarely	Never	Rarely		Rarely	Often	Rarely	Rarely	Sometimes	Rarely	Rarely	Sometimes		JavaScript, Python, Ruby	0 - 1		
7/1/2021 11:46:48	Yes, I consent.	Yes, I agree		Never	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Disagree	Agree	Sometimes	Never	Sometimes	Rarely	Rarely	Never	Sometimes	Never	Never	Never										Timeouts, differences between execution environments, 	JavaScript, Java, C#, TypeScript	13 +	Flaky production code can be misdiagnosed as flaky tests. Having flaky tests is not inevitable. 	
7/1/2021 12:42:16	Yes, I consent.	Yes, I agree		Monthly	Agree	Disagree	Strongly agree	Strongly agree	Agree	Agree	Agree	Agree	Never	Never	Rarely	Never	Never	Sometimes	Never	Rarely	Never	Never	nope	Often	Often	Sometimes	Rarely	Rarely	Rarely	Never	Often		C#	13 +		
7/1/2021 13:03:24	Yes, I consent.	Yes, I agree		A few times a year	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Disagree	Never	Never	Sometimes	Rarely	Rarely	Rarely	Sometimes	Sometimes	Rarely	Rarely	Environmental differences in local vs ci like different JVM defaults	Never	Never	Never	Sometimes	Rarely	Rarely	Never	Often		JavaScript, Python, Java	13 +		
7/1/2021 13:25:07	Yes, I consent.	Yes, I agree		Never	Disagree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Disagree	Never	Rarely	Rarely	Sometimes	Sometimes	Never	Sometimes	Sometimes	Rarely	Sometimes	Changes in external systems they rely upon. Or external system down.	Rarely	Often	Sometimes	Rarely	Never	Rarely	Never	Often		Java, Gosu (a close relative of Java)	13 +	There are also environment specific failures: My machine vs the integration machine.	
7/1/2021 14:32:29	Yes, I consent.	Yes, I agree		Weekly	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Disagree	Disagree	Agree	Rarely	Rarely	Rarely	Rarely	Sometimes	Rarely	Never	Never	Never	Never	Failing downstream services, database failovers, external API integrations. 	Sometimes	Often	Sometimes	Never	Never	Rarely	Never	Often		JavaScript	5 - 8		
7/1/2021 14:34:03	Yes, I consent.	No, I do not agree	Bit more detail such as over time and dependent on data https://docs.gitlab.com/ee/development/testing_guide/flaky_tests.html 	A few times a year	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Sometimes	Sometimes	Sometimes	Sometimes	Sometimes	Sometimes	Sometimes	Sometimes	Sometimes	Sometimes		Never	Rarely	Often	Rarely	Rarely	Never	Often	Often		C#, C++, C	5 - 8		
7/1/2021 14:35:08	Yes, I consent.	No, I do not agree	I define a "flaky test" as "a nondeterministic, automated check." It doesn't matter if the test is "passing" or "failing". It matters if it's in control of the initial state/input of the underlying system, and whether or not the underlying system (i.e. both the check itself, and what it's checking) is going through the same series of states, while controlling for race conditions. "Flaky" checks, are inherently nondeterministic.  I find "flaky" is used as a term so that blame can be placed on the check itself, or the tools used. But the reality, is that it always means nondeterministic code was written. Sometimes that can be good, but often it's not valued.	A few times a year	Strongly agree	Strongly agree		Strongly agree	Strongly agree	Strongly disagree	Strongly disagree	Strongly disagree	Rarely	Rarely	Rarely	Rarely	Rarely	Rarely	Rarely	Rarely	Rarely	Rarely	With Machine Learning, it can be inherently nondeterministic, which makes coming up with deterministic automated checks impossible by definition.	Never	Rarely	Never	Sometimes	Never	Never	Never	Often		JavaScript, Python, TypeScript	5 - 8	Even if a test fails intermittently with seemingly nothing changing, that's still a result. It at least tells us there's something to learn about the system.	
7/1/2021 16:02:04	Yes, I consent.	Yes, I agree		Daily	Agree	Disagree	Strongly agree	Agree	Agree	Strongly agree	Disagree	Agree	Rarely	Sometimes	Sometimes	Never	Rarely	Never	Never	Never	Never	Sometimes	Differences between local development machines and machines running the tests (e.g. TeamCity agent machine running on different OS, different memory constraints etc.)  Occasionally we have seen failures caused by improper set up of test frameworks (our business frequently practices behavioural tests over lower-level unit tests, meaning that our tests have much more complex initialisers than standard unit tests, which we have sometimes got wrong)	Sometimes	Sometimes	Rarely	Never	Rarely	Never	Rarely	Sometimes		Java, Kotlin	2 - 4		
7/1/2021 16:33:50	Yes, I consent.	No, I do not agree	A flaky test is a test case that can both pass and fail depending on changes irrelevant to the code being tested.	A few times a year	Strongly agree	Strongly agree	Agree	Strongly agree	Strongly agree	Agree	Agree	Strongly agree	Sometimes	Never	Sometimes	Often	Rarely	Never	Never	Often	Never	Often	Tests that run in multiple environments being misconfigured in certain environments.	Sometimes	Often	Often	Never	Never	Never	Often	Sometimes		JavaScript, Python, TypeScript	2 - 4		
7/1/2021 16:35:33	Yes, I consent.	Yes, I agree		A few times a year	Agree	Agree	Agree	Disagree	Agree	Disagree	Disagree	Disagree	Never	Never	Never	Never	Never	Never	Sometimes	Never	Never	Never	Out of memory errors. DB table space issues for heavy tests. 	Never	Sometimes	Sometimes	Sometimes	Never	Sometimes	Never	Often		JavaScript, Java, TypeScript	13 +	90% of the time it's date and or timezone logic. Sometimes they will fail when DST changes 	
7/1/2021 16:37:37	Yes, I consent.	Yes, I agree		Weekly	Strongly agree	Strongly agree	Strongly agree	Agree	Strongly agree	Agree	Strongly agree	Disagree		Sometimes											Often				Sometimes				Python, C++, C	2 - 4		
7/1/2021 16:55:41	Yes, I consent.	Yes, I agree		Daily	Strongly agree	Strongly agree	Agree	Disagree	Strongly agree	Agree	Agree	Strongly disagree	Often	Rarely	Sometimes	Sometimes	Often	Sometimes	Rarely	Never	Often	Often	Bugs that only intermittently happen.	Often	Often	Sometimes	Rarely	Never	Never	Never	Sometimes		C, Racket	13 +		
7/1/2021 17:00:16	Yes, I consent.	Yes, I agree		Weekly	Agree	Strongly agree	Strongly agree	Agree	Strongly agree	Agree	Disagree	Disagree	Never	Rarely	Never	Never	Often	Often	Never	Never	Never	Never		Sometimes	Often	Rarely	Never	Rarely	Never	Never	Sometimes		Java	13 +	Recently, seen a lot of flaky tests when running CI on Azure due to failures to download libraries; their Internet connection seems surprisingly flaky.  The other main cause is property-based testing where occasional random outputs produce a test failure but it's such a corner case it's not necessarily worth fixing properly.	
7/1/2021 17:08:19	Yes, I consent.	Yes, I agree		A few times a year	Agree	Disagree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Sometimes	Never	Sometimes	Rarely	Rarely	Never	Never	Never	Rarely	Never	Tests that pass on local machines fail, error, or falsely pass on CI machines with different platforms/environments	Never	Often	Sometimes	Sometimes	Never	Sometimes	Never	Often		JavaScript, Python, R	5 - 8		
7/1/2021 17:13:28	Yes, I consent.	Yes, I agree		A few times a year	Strongly agree	Strongly agree		Strongly agree	Agree	Strongly agree	Strongly agree	Strongly agree	Rarely	Sometimes	Sometimes	Rarely	Rarely	Rarely	Sometimes	Sometimes	Rarely	Rarely		Sometimes	Often	Often	Rarely	Rarely	Often	Rarely	Sometimes		Python, Java, Kotlin	13 +		
7/1/2021 17:20:24	Yes, I consent.	Yes, I agree		Daily	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Strongly agree	Sometimes	Rarely	Sometimes	Rarely	Often	Never	Never	Never	Never	Rarely		Never	Rarely	Rarely	Often	Never	Never	Never	Often	Get very angry	Python, Java, Rust, C#	13 +	Flakey tests must be eradicated 	
7/1/2021 18:05:36	Yes, I consent.	Yes, I agree		Monthly	Agree	Strongly agree	Agree	Strongly agree	Strongly agree	Strongly agree	Agree	Agree	Sometimes	Rarely	Rarely	Never	Sometimes	Often	Rarely	Often	Rarely	Rarely		Sometimes	Often	Never	Sometimes	Never	Never	Never	Often		Python, Java, Scala	2 - 4	It is unclear what quarantining a test is and very difficult to search.	
7/1/2021 18:06:05	Yes, I consent.	Yes, I agree		A few times a year	Strongly agree	Disagree	Agree	Strongly agree	Strongly agree	Agree	Strongly agree	Strongly agree	Often	Sometimes	Often	Sometimes	Rarely	Rarely	Rarely	Never	Never	Rarely	Idiosyncrasies from differences in operating systems that run the test (i.e. under MacOS/Linux a file is considered hidden if it becomes with .*, but Windows requires a system flag to also be set for that file, and some test harnesses try to obfuscate the OS running the tests).	Rarely	Often	Sometimes	Never	Sometimes	Sometimes	Rarely	Often		JavaScript, Python, TypeScript	9 - 12		
7/1/2021 18:12:58	Yes, I consent.	Yes, I agree		A few times a year	Strongly agree	Agree	Agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Sometimes	Never	Never	Never	Sometimes	Never	Rarely	Never	Never	Sometimes		Rarely	Often	Sometimes	Never	Never	Never	Never	Sometimes		JavaScript, C#, TypeScript	9 - 12		
7/1/2021 18:29:31	Yes, I consent.	Yes, I agree		Weekly	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Sometimes	Often	Often	Often	Often	Never	Never	Never	Never	Often		Never	Often	Often	Never	Never	Never	Often	Sometimes		Python, C++	5 - 8		
7/1/2021 18:49:43	Yes, I consent.	Yes, I agree		Weekly	Disagree	Agree	Agree	Agree	Strongly agree	Strongly agree	Agree	Agree											In the projects I'm currently working on, I don't have visibility into the causes of flaky tests. That's not my department. I've skipped that question for that reason. 	Rarely	Often	Sometimes	Sometimes	Sometimes	Sometimes	Never	Sometimes	Attempt to diagnose the importance of the flakiness to the overall behavior. 	Python, C++	2 - 4		
7/1/2021 19:33:52	Yes, I consent.	Yes, I agree		A few times a year	Agree	Agree	Agree	Disagree	Strongly agree	Strongly disagree	Agree	Disagree	Rarely	Rarely	Rarely	Rarely	Never	Never	Often	Sometimes	Rarely	Never	Time zones	Never	Sometimes	Sometimes	Never	Never	Never	Never	Often		TypeScript, Go, Ruby	2 - 4		
7/1/2021 19:40:20	Yes, I consent.	Yes, I agree		A few times a year	Strongly agree	Agree	Strongly agree	Disagree	Disagree	Agree	Agree	Agree	Rarely	Sometimes	Often	Sometimes	Rarely	Sometimes	Never	Never	Rarely	Sometimes		Rarely	Often	Sometimes	Sometimes	Often	Sometimes	Sometimes	Often		JavaScript, Python	2 - 4		
7/1/2021 19:50:58	Yes, I consent.	Yes, I agree		Daily	Agree	Agree	Agree	Strongly agree	Agree	Strongly agree	Disagree	Disagree	Often	Sometimes	Rarely	Never	Often	Never	Never	Never	Never	Sometimes		Sometimes	Often	Often	Never	Rarely	Sometimes	Sometimes	Rarely		Java, Go, Scala	9 - 12		
7/1/2021 19:54:30	Yes, I consent.	Yes, I agree		Weekly	Agree	Strongly agree	Strongly agree	Agree	Agree	Agree	Disagree	Disagree	Sometimes	Never	Sometimes	Rarely	Sometimes	Rarely	Never	Never	Never	Never		Rarely	Often	Rarely	Rarely	Sometimes	Never	Often	Often		Python, Go	9 - 12		
7/1/2021 20:13:40	Yes, I consent.	Yes, I agree		A few times a year	Disagree	Agree	Agree	Disagree	Agree	Agree	Disagree	Strongly disagree	Never	Sometimes	Often	Sometimes	Often	Never	Sometimes	Often	Rarely	Never	Test runner machine failure, which at some scale means all tests are a little flaky	Sometimes	Often	Never	Sometimes	Sometimes	Rarely	Never	Often		JavaScript, Python, C++, Rust	13 +		
7/1/2021 20:33:40	Yes, I consent.	Yes, I agree		Monthly	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Rarely	Never	Often	Sometimes	Sometimes	Sometimes	Never	Sometimes	Rarely	Sometimes	No	Sometimes	Often	Sometimes	Often	Rarely	Sometimes	Rarely	Sometimes	No	Python, Java	0 - 1		
